lot_name,spot_num,lat,long
Stowe,Stowe_133,35.5002319,-80.8408255
Stowe,Stowe_134,35.5002199,-80.8407974
Stowe,Stowe_135,35.5002036,-80.8407744
Stowe,Stowe_136,35.5001907,-80.8407489
Stowe,Stowe_137,35.5001766,-80.8407264
Stowe,Stowe_138,35.5001603,-80.8407025
Stowe,Stowe_139,35.5001469,-80.8406765
Stowe,Stowe_140,35.5001309,-80.8406529
Stowe,Stowe_141,35.5001182,-80.8406276
Stowe,Stowe_142,35.5001007,-80.8406046
Stowe,Stowe_143,35.5000879,-80.84058
Stowe,Stowe_144,35.5000725,-80.8405555
Stowe,Stowe_145,35.5000598,-80.8405289
Stowe,Stowe_146,35.5000425,-80.8405081
Stowe,Stowe_147,35.5000257,-80.8404849
Stowe,Stowe_148,35.4999883,-80.8404084
Stowe,Stowe_149,35.499976,-80.840381
Stowe,Stowe_150,35.4999651,-80.840354
Stowe,Stowe_151,35.4999479,-80.8403301
Stowe,Stowe_152,35.4999313,-80.8403076
Stowe,Stowe_153,35.4999188,-80.8402802
Stowe,Stowe_154,35.4999029,-80.8402561
Stowe,Stowe_155,35.4998891,-80.8402327
Stowe,Stowe_156,35.4998194,-80.8398278
Stowe,Stowe_157,35.4998381,-80.8398104
Stowe,Stowe_158,35.4998598,-80.8397951
Stowe,Stowe_159,35.4998814,-80.8397767
Stowe,Stowe_160,35.4999031,-80.8397588
Stowe,Stowe_161,35.4999178,-80.8397385
Stowe,Stowe_162,35.4999386,-80.8397271
Stowe,Stowe_163,35.4999621,-80.839712
Stowe,Stowe_164,35.4999833,-80.8396947
Stowe,Stowe_165,35.5000023,-80.8396733
Stowe,Stowe_166,35.5000183,-80.8396521
Martin Court,MartinCourt_01,35.5024432,-80.8418331
Martin Court,MartinCourt_02,35.5024294,-80.8418072
Martin Court,MartinCourt_03,35.5024038,-80.8417865
Martin Court,MartinCourt_04,35.5023929,-80.8417602
Martin Court,MartinCourt_05,35.5023742,-80.8417375
Martin Court,MartinCourt_06,35.5023541,-80.8417146
Martin Court,MartinCourt_07,35.502344,-80.8416875
Martin Court,MartinCourt_08,35.5023049,-80.8416301
Martin Court,MartinCourt_09,35.5022899,-80.841609
Martin Court,MartinCourt_10,35.5022728,-80.8415879
Martin Court,MartinCourt_11,35.5022577,-80.8415635
Martin Court,MartinCourt_12,35.5022443,-80.8415392
Martin Court,MartinCourt_13,35.5022242,-80.841514
Martin Court,MartinCourt_14,35.5022115,-80.8414909
Martin Court,MartinCourt_15,35.5021972,-80.8414651
Martin Court,MartinCourt_16,35.5021819,-80.8414411
Martin Court,MartinCourt_17,35.5021685,-80.8414206
Martin Court,MartinCourt_18,35.5021339,-80.8402825
Martin Court,MartinCourt_19,35.5021399,-80.840259
Martin Court,MartinCourt_20,35.5025115,-80.8412622
Martin Court,MartinCourt_21,35.5025303,-80.8412399
Martin Court,MartinCourt_22,35.5025474,-80.8412177
Martin Court,MartinCourt_23,35.5025686,-80.8411985
Martin Court,MartinCourt_24,35.5025872,-80.8411822
Martin Court,MartinCourt_25,35.502612,-80.8411694
Martin Court,MartinCourt_26,35.5026294,-80.8411513
Martin Court,MartinCourt_27,35.5026541,-80.8411401
Martin Court,MartinCourt_28,35.5026762,-80.8411257
Martin Court,MartinCourt_29,35.5027041,-80.8411178
Martin Court,MartinCourt_30,35.5027577,-80.8410881
Martin Court,MartinCourt_31,35.5027842,-80.8410757
Martin Court,MartinCourt_32,35.5028104,-80.841068
Martin Court,MartinCourt_33,35.5028364,-80.841063
Martin Court,MartinCourt_34,35.5028601,-80.8410555
Martin Court,MartinCourt_35,35.5028881,-80.8410485
Martin Court,MartinCourt_36,35.5029773,-80.8410215
Martin Court,MartinCourt_37,35.5030025,-80.8410127
Martin Court,MartinCourt_38,35.5030293,-80.8410115
Martin Court,MartinCourt_39,35.5031474,-80.8409721
Martin Court,MartinCourt_40,35.5031733,-80.8409636
Martin Court,MartinCourt_41,35.5031967,-80.8409516
Martin Court,MartinCourt_42,35.5032214,-80.8409466
Martin Court,MartinCourt_43,35.5032437,-80.8409388
Martin Court,MartinCourt_44,35.5032678,-80.8409304
Martin Court,MartinCourt_45,35.5032913,-80.8409246
Martin Court,MartinCourt_46,35.5033139,-80.8409149
Martin Court,MartinCourt_47,35.5033187,-80.8410662
Martin Court,MartinCourt_48,35.5032934,-80.8410722
Martin Court,MartinCourt_49,35.5032687,-80.8410772
Martin Court,MartinCourt_50,35.5032454,-80.8410893
Martin Court,MartinCourt_51,35.5032205,-80.8410995
Martin Court,MartinCourt_52,35.5031997,-80.8411061
Martin Court,MartinCourt_53,35.5031732,-80.8411082
Martin Court,MartinCourt_54,35.5031908,-80.8411826
Martin Court,MartinCourt_55,35.503215,-80.8411752
Martin Court,MartinCourt_56,35.5032377,-80.8411677
Martin Court,MartinCourt_57,35.5032606,-80.8411596
Martin Court,MartinCourt_58,35.5032843,-80.8411516
Martin Court,MartinCourt_59,35.5033101,-80.8411451
Martin Court,MartinCourt_60,35.503332,-80.8411352
Martin Court,MartinCourt_61,35.5033165,-80.8412911
Martin Court,MartinCourt_62,35.5032916,-80.8413072
Martin Court,MartinCourt_63,35.503271,-80.8413131
Martin Court,MartinCourt_64,35.5032464,-80.8413217
Martin Court,MartinCourt_65,35.5032221,-80.8413311
Martin Court,MartinCourt_66,35.5031978,-80.8413363
Martin Court,MartinCourt_67,35.5031735,-80.8413426
Martin Court,MartinCourt_68,35.5031476,-80.841345
Martin Court,MartinCourt_69,35.5030865,-80.8413215
Armfield ,Armfield_01,35.5012641,-80.8403917
Armfield ,Armfield_02,35.5012411,-80.840372
Armfield ,Armfield_03,35.5012441,-80.840339
Armfield ,Armfield_04,35.5012345,-80.8403126
Armfield ,Armfield_05,35.5012172,-80.8402883
Armfield ,Armfield_06,35.5012048,-80.8402622
Armfield ,Armfield_07,35.5012003,-80.8402338
Armfield ,Armfield_08,35.5011922,-80.8402026
Armfield ,Armfield_09,35.5011729,-80.8401772
Armfield ,Armfield_10,35.5011591,-80.8401537
Armfield ,Armfield_11,35.5011542,-80.8401231
Armfield ,Armfield_12,35.5011405,-80.8400942
Armfield ,Armfield_13,35.5013735,-80.8403491
Armfield ,Armfield_14,35.5013648,-80.8403201
Armfield ,Armfield_15,35.5013554,-80.8402923
Armfield ,Armfield_16,35.5013469,-80.8402645
Armfield ,Armfield_17,35.5013359,-80.8402319
Armfield ,Armfield_18,35.5013246,-80.8402082
Armfield ,Armfield_19,35.5013159,-80.8401825
Armfield ,Armfield_20,35.5013018,-80.8401553
Armfield ,Armfield_21,35.5013413,-80.8400787
Armfield ,Armfield_22,35.5013584,-80.8400598
Armfield ,Armfield_23,35.5013837,-80.8400478
Armfield ,Armfield_24,35.5014058,-80.8400362
Armfield ,Armfield_25,35.5014285,-80.8400218
Armfield ,Armfield_26,35.5014529,-80.8400084
Armfield ,Armfield_27,35.5016876,-80.8398712
Armfield ,Armfield_28,35.5017087,-80.8398581
Armfield ,Armfield_29,35.5017305,-80.8398447
Armfield ,Armfield_30,35.5017535,-80.839832
Armfield ,Armfield_31,35.5017762,-80.83982
Armfield ,Armfield_32,35.5017973,-80.8398082
Armfield ,Armfield_33,35.5018426,-80.8397798
Armfield ,Armfield_34,35.5018663,-80.839765
Armfield ,Armfield_35,35.501889,-80.8397527
Armfield ,Armfield_36,35.5019083,-80.8397396
Armfield ,Armfield_37,35.5019296,-80.8397276
Armfield ,Armfield_38,35.5017754,-80.8395762
Armfield ,Armfield_39,35.5017709,-80.8395482
Armfield ,Armfield_40,35.5017582,-80.839522
Armfield ,Armfield_41,35.5017483,-80.8394956
Armfield ,Armfield_42,35.5017328,-80.8394648
Armfield ,Armfield_43,35.5017262,-80.8394406
Armfield ,Armfield_44,35.5017134,-80.8394131
Armfield ,Armfield_45,35.5017108,-80.8393877
Armfield ,Armfield_46,35.5018706,-80.8394269
Armfield ,Armfield_47,35.5018568,-80.8393982
Armfield ,Armfield_48,35.5018464,-80.8393723
Armfield ,Armfield_49,35.5018365,-80.8393427
Armfield ,Armfield_50,35.501829,-80.8393137
